Year of Starttime,Month of Starttime,age,Number of Records
2019,January,Age 65+,34598
2019,February,Age 65+,32694
2019,March,Age 65+,44450
2019,April,Age 65+,51398
2019,May,Age 65+,53156
2019,January,Age 50 to 64,229491
2019,February,Age 50 to 64,218701
2019,March,Age 50 to 64,315250
2019,April,Age 50 to 64,433104
2019,May,Age 50 to 64,479369
2019,January,Age 30 to 49,526366
2019,February,Age 30 to 49,508549
2019,March,Age 30 to 49,698544
2019,April,Age 30 to 49,898525
2019,May,Age 30 to 49,974773
2019,January,Age 18 to 29,175697
2019,February,Age 18 to 29,182637
2019,March,Age 18 to 29,267434
2019,April,Age 18 to 29,378583
2019,May,Age 18 to 29,413404
2020,January,Age 65+,41025
2020,February,Age 65+,36932
2020,March,Age 65+,33495
2020,April,Age 65+,20306
2020,May,Age 65+,34638
2020,January,Age 50 to 64,289046
2020,February,Age 50 to 64,263424
2020,March,Age 50 to 64,266360
2020,April,Age 50 to 64,179503
2020,May,Age 50 to 64,381868
2020,January,Age 30 to 49,628204
2020,February,Age 30 to 49,570990
2020,March,Age 30 to 49,513812
2020,April,Age 30 to 49,331195
2020,May,Age 30 to 49,687943
2020,January,Age 18 to 29,279993
2020,February,Age 18 to 29,273059
2020,March,Age 18 to 29,251247
2020,April,Age 18 to 29,148338
2020,May,Age 18 to 29,373104
