,start_station,end_station,ntrips
1,3203,3186,8778
2,3186,3203,6050
3,3269,3186,5252
4,3276,3186,4452
5,3270,3186,4370
6,3186,3276,4167
7,3209,3186,4079
8,3278,3186,3993
9,3279,3186,3870
10,3194,3195,3807
11,3186,3269,3614
12,3186,3279,3464
13,3186,3278,3140
14,3195,3194,3136
15,3186,3209,3093
16,3202,3639,3038
17,3639,3202,2759
18,3213,3186,2709
19,3202,3203,2681
20,3678,3195,2503
21,3280,3195,2500
22,3186,3270,2491
23,3195,3280,2359
24,3679,3195,2193
25,3203,3273,2117
26,3195,3193,2050
27,3203,3202,2021
28,3205,3186,1994
29,3195,3679,1967
30,3186,3272,1934
31,3186,3205,1916
32,3192,3192,1828
33,3199,3202,1818
34,3638,3202,1816
35,3186,3213,1800
36,3207,3640,1788
37,3195,3678,1785
38,3639,3792,1776
39,3273,3203,1753
40,3202,3199,1695
41,3272,3186,1674
42,3186,3192,1655
43,3272,3203,1641
44,3267,3792,1640
45,3203,3211,1550
46,3192,3186,1511
47,3193,3195,1461
48,3211,3203,1432
49,3195,3225,1400
50,3640,3210,1390
51,3483,3186,1374
52,3210,3640,1363
53,3640,3207,1330
54,3202,3638,1304
55,3199,3199,1271
56,3267,3184,1251
57,3186,3483,1220
58,3792,3639,1212
59,3203,3639,1211
60,3267,3183,1160
61,3639,3186,1155
62,3792,3267,1131
63,3639,3199,1110
64,3199,3639,1098
65,3639,3203,1087
66,3267,3186,1081
67,3276,3276,1059
68,3186,3267,1054
69,3677,3195,1052
70,3202,3187,1043
71,3203,3272,1041
72,3186,3639,1009
73,3186,3211,1000
74,3211,3186,973
75,3281,3640,970
76,3185,3276,965
77,3184,3267,949
78,3681,3186,938
79,3195,3677,921
80,3640,3201,914
81,3276,3184,893
82,3183,3267,875
83,3638,3199,875
84,3275,3202,873
85,3192,3185,870
86,3184,3276,853
87,3225,3195,818
88,3225,3186,816
89,3186,3268,815
90,3199,3638,803
91,3205,3205,799
92,3187,3202,794
93,3186,3186,778
94,3640,3281,778
95,3268,3186,771
96,3639,3639,769
97,3186,3681,764
98,3278,3273,745
99,3187,3275,744
100,3202,3275,740
101,3638,3639,740
102,3276,3792,725
103,3275,3199,719
104,3481,3186,718
105,3187,3186,712
106,3639,3187,711
107,3639,3272,709
108,3276,3185,707
109,3203,3203,706
110,3639,3275,688
111,3268,3185,687
112,3276,3214,677
113,3199,3275,668
114,3267,3267,664
115,3275,3639,660
116,3792,3276,660
117,3214,3276,658
118,3187,3187,653
119,3211,3209,652
120,3186,3481,647
121,3269,3273,644
122,3187,3639,636
123,3639,3638,636
124,3185,3203,635
125,3275,3187,635
126,3211,3269,634
127,3792,3187,624
128,3272,3639,615
129,3207,3195,614
130,3185,3192,613
131,3211,3278,610
132,3195,3210,609
133,3638,3638,608
134,3272,3269,605
135,3272,3278,604
136,3275,3638,604
137,3195,3191,603
138,3187,3792,599
139,3184,3638,594
140,3276,3639,585
141,3186,3185,579
142,3214,3792,576
143,3203,3187,574
144,3193,3193,567
145,3198,3196,566
146,3187,3203,562
147,3267,3202,561
148,3187,3199,560
149,3199,3187,559
150,3199,3203,557
151,3203,3185,556
152,3270,3211,551
153,3186,3187,547
154,3213,3213,541
155,3681,3275,537
156,3220,3210,534
157,3792,3214,530
158,3273,3278,526
159,3202,3184,525
160,3277,3186,525
161,3273,3639,520
162,3273,3270,517
163,3639,3276,517
164,3269,3211,515
165,3270,3273,515
166,3202,3202,511
167,3184,3186,508
168,3267,3275,507
169,3185,3268,503
170,3213,3185,499
171,3639,3211,497
172,3203,3184,491
173,3210,3195,489
174,3191,3195,488
175,3273,3269,477
176,3638,3203,476
177,3275,3267,469
178,3638,3184,469
179,3192,3184,466
180,3202,3186,462
181,3272,3270,462
182,3186,3277,457
183,3185,3213,448
184,3211,3270,448
185,3214,3183,448
186,3792,3186,446
187,3638,3275,444
188,3639,3192,444
189,3185,3185,441
190,3195,3207,440
191,3278,3211,438
192,3183,3214,436
193,3184,3203,435
194,3184,3192,434
195,3185,3186,433
196,3194,3280,430
197,3203,3199,429
198,3184,3202,426
199,3186,3214,426
200,3201,3640,425
201,3202,3267,425
202,3203,3638,425
203,3196,3198,424
204,3214,3192,421
205,3194,3679,419
206,3214,3186,418
207,3203,3275,417
208,3209,3211,417
209,3209,3273,416
210,3199,3186,414
211,3186,3184,410
212,3638,3186,410
213,3211,3639,408
214,3681,3639,408
215,3213,3184,406
216,3275,3276,406
217,3185,3681,404
218,3203,3792,402
219,3275,3203,401
220,3639,3183,401
221,3185,3205,399
222,3276,3183,393
223,3639,3681,391
224,3792,3638,387
225,3186,3225,386
226,3214,3202,386
227,3187,3276,385
228,3184,3184,384
229,3213,3272,378
230,3192,3639,374
231,3211,3276,373
232,3214,3267,372
233,3639,3185,371
234,3195,3195,370
235,3276,3211,368
236,3185,3638,367
237,3270,3202,367
238,3273,3209,367
239,3185,3267,366
240,3205,3185,366
241,3276,3192,361
242,3184,3275,359
243,3209,3185,351
244,3279,3639,351
245,3186,3202,349
246,3275,3184,349
247,3186,3792,347
248,3276,3275,346
249,3184,3199,344
250,3275,3792,343
251,3272,3213,342
252,3275,3275,339
253,3681,3792,338
254,3185,3639,336
255,3186,3273,335
256,3203,3209,333
257,3210,3220,333
258,3638,3792,333
259,3192,3214,332
260,3199,3184,329
261,3269,3272,326
262,3273,3186,326
263,3183,3187,325
264,3184,3185,325
265,3205,3211,323
266,3202,3681,322
267,3275,3186,321
268,3681,3202,320
269,3183,3276,318
270,3184,3639,318
271,3186,3638,318
272,3268,3192,318
273,3681,3183,317
274,3203,3205,316
275,3202,3214,315
276,3278,3272,315
277,3276,3187,313
278,3267,3639,310
279,3276,3202,310
280,3792,3202,310
281,3273,3272,309
282,3202,3270,308
283,3275,3214,308
284,3185,3184,307
285,3187,3681,307
286,3681,3276,307
287,3276,3213,306
288,3267,3187,304
289,3211,3205,303
290,3267,3214,302
291,3639,3270,302
292,3681,3187,302
293,3203,3213,300
294,3275,3681,300
295,3639,3213,300
296,3792,3192,299
297,3276,3638,296
298,3640,3212,290
299,3202,3272,289
300,3202,3276,289
301,3185,3481,288
302,3192,3792,288
303,3187,3267,287
304,3199,3214,286
305,3638,3185,286
306,3187,3183,285
307,3203,3276,285
308,3681,3185,285
309,3187,3638,284
310,3220,3207,284
311,3481,3183,284
312,3185,3211,282
313,3213,3639,282
314,3267,3276,282
315,3639,3184,282
316,3211,3187,281
317,3211,3184,280
318,3211,3211,280
319,3187,3211,278
320,3214,3638,277
321,3267,3185,277
322,3792,3199,277
323,3186,3199,276
324,3195,3281,276
325,3202,3269,275
326,3185,3202,274
327,3213,3276,274
328,3205,3203,272
329,3270,3639,272
330,3211,3213,271
331,3681,3681,271
332,3196,3186,267
333,3202,3792,266
334,3213,3203,266
335,3270,3272,266
336,3639,3267,265
337,3203,3269,264
338,3211,3192,264
339,3212,3195,264
340,3272,3272,264
341,3213,3192,262
342,3192,3276,261
343,3202,3791,261
344,3183,3186,259
345,3481,3792,259
346,3212,3640,257
347,3269,3202,256
348,3269,3203,255
349,3183,3639,253
350,3192,3268,253
351,3198,3199,253
352,3214,3275,253
353,3210,3210,252
354,3214,3199,252
355,3192,3205,251
356,3792,3792,250
357,3184,3213,248
358,3212,3206,248
359,3638,3187,248
360,3639,3214,248
361,3273,3187,246
362,3638,3211,246
363,3792,3185,246
