"","start.station.id","end.station.id","ntrips"
"1",3192,3192,7657
"2",3199,3199,5014
"3",3276,3276,3166
"4",3205,3205,2675
"5",3194,3195,2398
"6",3193,3193,2384
"7",3639,3639,2203
"8",3203,3203,2098
"9",3203,3186,2045
"10",3195,3194,1980
"11",3679,3195,1886
"12",3276,3186,1883
"13",3267,3267,1788
"14",3279,3186,1735
"15",3186,3203,1712
"16",3195,3679,1708
"17",3638,3638,1629
"18",3186,3279,1621
"19",3184,3184,1595
"20",3792,3792,1595
"21",3186,3276,1483
"22",3187,3187,1463
"23",3280,3195,1459
"24",3202,3199,1425
"25",3678,3195,1417
"26",3270,3186,1369
"27",3186,3192,1360
"28",3195,3280,1353
"29",3192,3186,1310
"30",3275,3275,1298
"31",3195,3678,1250
"32",3269,3186,1246
"33",3213,3213,1243
"34",3209,3186,1242
"35",3792,3639,1232
"36",3199,3202,1228
"37",3639,3792,1216
"38",3267,3792,1212
"39",3185,3185,1203
"40",3639,3202,1176
"41",3202,3639,1157
"42",3792,3199,1128
"43",3186,3269,1116
"44",3186,3209,1096
"45",3791,3791,1092
"46",3278,3186,1085
"47",3792,3267,1082
"48",3202,3203,1060
"49",3186,3270,1038
"50",3195,3225,1009
"51",3186,3186,1003
"52",3199,3638,999
"53",3187,3199,995
"54",3186,3278,985
"55",3199,3187,984
"56",3202,3202,983
"57",3638,3199,978
"58",3186,3205,976
"59",3205,3186,974
"60",3213,3186,969
"61",3199,3639,965
"62",3203,3202,965
"63",3639,3199,961
"64",3192,3185,958
"65",3195,3193,939
"66",3186,3213,882
"67",3272,3203,863
"68",3203,3273,848
"69",3199,3203,831
"70",3199,3186,829
"71",3639,3186,824
"72",3199,3792,820
"73",3273,3203,816
"74",3203,3211,815
"75",3186,3268,789
"76",3275,3199,788
"77",3638,3202,782
"78",3199,3275,774
"79",3268,3186,763
"80",3185,3192,726
"81",3202,3638,700
"82",3186,3272,682
"83",3203,3272,674
"84",3210,3210,673
"85",3211,3203,672
"86",3199,3267,671
"87",3185,3203,657
"88",3203,3199,654
"89",3225,3186,651
"90",3681,3681,647
"91",3186,3483,645
"92",3186,3639,644
"93",3199,3205,639
"94",3792,3202,636
"95",3202,3187,628
"96",3193,3195,624
"97",3268,3268,618
"98",3186,3267,617
"99",3272,3272,611
"100",3225,3195,610
"101",3198,3198,606
"102",3186,3199,598
"103",3267,3186,590
"104",3214,3214,582
"105",3792,3276,582
"106",3192,3205,578
"107",3195,3195,570
"108",3211,3211,567
"109",3185,3276,564
"110",3205,3199,562
"111",3209,3209,555
"112",3276,3792,545
"113",3792,3186,544
"114",3184,3199,536
"115",3203,3185,536
"116",3267,3199,527
"117",3273,3273,525
"118",3199,3184,522
"119",3199,3276,521
"120",3186,3225,520
"121",3481,3481,519
"122",3202,3792,516
"123",3276,3184,508
"124",3276,3192,506
"125",3483,3186,506
"126",3677,3195,503
"127",3639,3276,498
"128",3192,3792,496
"129",3270,3270,491
"130",3267,3276,490
"131",3276,3185,483
"132",3276,3199,480
"133",3792,3192,479
"134",3187,3202,478
"135",3205,3192,477
"136",3269,3273,477
"137",3184,3267,476
"138",3272,3186,476
"139",3184,3792,474
"140",3276,3639,472
"141",3681,3186,472
"142",3276,3214,469
"143",3195,3677,468
"144",3202,3186,467
"145",3279,3279,465
"146",3275,3202,459
"147",3205,3185,458
"148",3192,3276,456
"149",3639,3203,454
"150",3640,3201,448
"151",3211,3205,447
"152",3187,3186,446
"153",3203,3187,442
"154",3267,3202,441
"155",3792,3187,441
"156",3195,3191,440
"157",3638,3792,438
"158",3185,3186,434
"159",3277,3277,434
"160",3186,3185,433
"161",3191,3191,429
"162",3276,3202,422
"163",3205,3203,421
"164",3639,3192,421
"165",3187,3275,420
"166",3205,3276,420
"167",3203,3639,419
"168",3185,3199,417
"169",3199,3192,417
"170",3267,3184,415
"171",3792,3638,415
"172",3276,3205,412
"173",3202,3275,411
"174",3187,3203,407
"175",3203,3276,403
"176",3481,3186,400
"177",3202,3791,399
"178",3638,3639,399
"179",3268,3185,394
"180",3278,3278,384
"181",3483,3199,384
"182",3187,3267,383
"183",3792,3184,382
"184",3199,3185,381
"185",3276,3203,381
"186",3211,3192,376
"187",3213,3203,376
"188",3280,3280,376
"189",3203,3213,375
"190",3639,3184,374
"191",3184,3276,373
"192",3214,3276,372
"193",3186,3187,371
"194",3225,3225,370
"195",3186,3792,368
"196",3187,3276,367
"197",3199,3483,365
"198",3203,3205,365
"199",3272,3269,364
"200",3275,3187,364
"201",3276,3187,362
"202",3192,3639,359
"203",3184,3202,358
"204",3185,3268,356
"205",3186,3481,356
"206",3195,3210,356
"207",3202,3276,354
"208",3186,3202,349
"209",3792,3214,349
"210",3272,3278,348
"211",3638,3186,347
"212",3211,3186,346
"213",3276,3213,346
"214",3639,3267,346
"215",3267,3639,345
"216",3278,3273,344
"217",3192,3211,343
"218",3185,3639,342
"219",3202,3267,342
"220",3192,3213,340
"221",3791,3202,340
"222",3203,3184,339
"223",3211,3209,339
"224",3270,3211,339
"225",3272,3270,339
"226",3639,3638,338
"227",3681,3199,338
"228",3202,3192,335
"229",3203,3792,335
"230",3210,3195,335
"231",3187,3205,332
"232",3267,3187,331
"233",3184,3186,329
"234",3185,3267,328
"235",3199,3214,328
"236",3267,3185,328
"237",3205,3187,327
"238",3276,3638,327
"239",3205,3202,326
"240",3269,3269,324
"241",3186,3211,323
"242",3211,3270,320
"243",3192,3268,318
"244",3270,3273,318
"245",3639,3185,318
"246",3202,3681,317
"247",3269,3211,317
"248",3273,3270,315
"249",3186,3681,314
"250",3191,3195,314
"251",3209,3211,312
"252",3273,3269,311
"253",3276,3267,311
"254",3199,3681,310
"255",3185,3202,309
"256",3202,3184,309
"257",3186,3277,308
"258",3213,3185,308
"259",3214,3199,308
"260",3278,3211,308
"261",3681,3202,308
"262",3211,3639,305
"263",3201,3640,304
"264",3207,3640,304
"265",3211,3213,303
"266",3184,3638,302
"267",3184,3185,301
"268",3203,3638,301
"269",3640,3210,301
"270",3192,3199,300
"271",3214,3202,300
"272",3638,3267,300
"273",3792,3203,300
"274",3194,3679,299
"275",3213,3276,298
"276",3638,3276,298
"277",3187,3792,294
"278",3202,3214,294
"279",3211,3269,292
"280",3184,3639,291
"281",3640,3207,291
"282",3184,3203,289
"283",3187,3639,289
"284",3192,3184,288
"285",3195,3199,284
"286",3213,3192,284
"287",3275,3639,284
"288",3198,3196,283
"289",3211,3278,282
"290",3638,3184,282
"291",3792,3185,282
"292",3205,3211,280
"293",3638,3203,280
"294",3639,3187,280
"295",3187,3638,279
"296",3267,3192,278
"297",3202,3205,277
"298",3209,3185,275
"299",3185,3681,273
"300",3639,3205,273
"301",3185,3213,272
"302",3202,3185,271
"303",3273,3639,271
"304",3213,3199,269
"305",3214,3186,268
"306",3192,3681,266
"307",3213,3205,266
"308",3267,3638,266
"309",3275,3276,266
"310",3198,3199,265
"311",3275,3638,265
"312",3681,3792,265
"313",3694,3694,265
"314",3272,3209,263
"315",3207,3195,258
"316",3267,3275,257
"317",3205,3792,256
"318",3214,3792,256
"319",3275,3203,256
"320",3185,3184,255
"321",3185,3792,255
"322",3199,3211,255
"323",3275,3267,255
"324",3185,3638,254
"325",3199,3213,254
"326",3206,3206,254
"327",3277,3186,254
"328",3276,3211,253
"329",3187,3192,252
"330",3269,3203,252
"331",3275,3186,252
"332",3203,3269,251
"333",3205,3214,251
"334",3184,3192,250
"335",3270,3272,250
"336",3196,3198,249
"337",3276,3275,249
"338",3639,3272,249
"339",3194,3280,247
"340",3185,3481,246
"341",3278,3792,246
"342",3225,3792,245
"343",3269,3272,245
"344",3213,3187,244
"345",3185,3205,243
"346",3192,3202,242
"347",3192,3272,242
"348",3268,3192,242
"349",3273,3272,241
"350",3205,3272,240
"351",3272,3192,240
"352",3272,3213,240
"353",3273,3199,239
"354",3275,3184,238
"355",3275,3205,238
"356",3210,3640,237
"357",3205,3275,236
"358",3211,3276,236
"359",3199,3273,235
"360",3194,3194,234
"361",3195,3206,234
"362",3203,3192,234
"363",3201,3201,233
"364",3213,3272,233
"365",3639,3211,233
"366",3280,3193,232
"367",3638,3192,232
"368",3192,3638,231
"369",3196,3196,229
"370",3205,3184,229
"371",3639,3279,229
"372",3483,3187,226
"373",3638,3275,226
"374",3186,3184,225
"375",3681,3638,225
"376",3193,3280,224
"377",3279,3639,224
"378",3203,3270,221
"379",3681,3185,221
"380",3187,3483,219
"381",3207,3207,219
"382",3214,3267,219
"383",3270,3185,219
"384",3186,3214,218
"385",3209,3792,218
"386",3275,3792,218
"387",3639,3275,218
"388",3792,3275,218
"389",3678,3186,215
"390",3678,3678,215
"391",3187,3681,214
"392",3192,3187,214
"393",3205,3213,214
"394",3679,3193,214
"395",3272,3205,213
"396",3187,3184,212
"397",3203,3209,212
"398",3209,3272,212
"399",3267,3205,212
"400",3192,3267,211
"401",3203,3275,211
"402",3205,3639,211
"403",3213,3202,208
"404",3187,3214,207
"405",3273,3278,207
"406",3275,3192,206
"407",3207,3791,205
"408",3281,3640,205
"409",3638,3681,205
"410",3679,3679,205
"411",3211,3185,204
"412",3273,3276,204
"413",3220,3210,203
"414",3273,3209,203
"415",3791,3203,201
"416",3278,3272,200
"417",3185,3209,199
"418",3198,3210,199
"419",3211,3199,199
"420",3792,3205,198
"421",3186,3275,197
"422",3483,3639,197
"423",3681,3276,197
"424",3192,3277,196
"425",3184,3275,195
"426",3186,3638,195
"427",3202,3270,195
"428",3209,3203,194
"429",3792,3211,194
"430",3184,3187,193
"431",3202,3272,193
"432",3213,3792,193
"433",3272,3639,193
"434",3203,3791,192
"435",3276,3681,192
"436",3209,3273,191
"437",3681,3187,191
"438",3213,3639,190
"439",3681,3211,189
"440",3638,3187,188
